card_id,card_name,set_id,set_name,local_id,quick_image_url,claude_image_url,quick_matched_id,quick_correct,quick_time_s,ocr_name,ocr_set_number,ocr_hp,match_method,match_confidence,failure_reason,claude_matched_id,claude_correct,claude_time_s
base3-1,Aerodactyl,base3,Fossil,1,https://assets.tcgdex.net/en/base/base3/1/low.webp,,base3-1,True,0.834,Aerodactyl,,60,fuzzy_name_hp_best,1.0,correct,,,
base5-27,Dark Machamp,base5,Team Rocket,27,https://assets.tcgdex.net/en/base/base5/27/low.webp,,,False,0.396,Dark Machamp 70 HP,,70,,,catalog_no_match,,,
bw9-113,Latios-EX,bw9,Plasma Freeze,113,https://assets.tcgdex.net/en/bw/bw9/113/low.webp,,bw9-113,True,0.639,Latios EX,113/116,,local_id,0.9,correct,,,
bw3-12,Accelgor,bw3,Noble Victories,12,https://assets.tcgdex.net/en/bw/bw3/12/low.webp,,bw3-12,True,0.362,Accelgor,12/101,,exact,0.99,correct,,,
col1-7,Gyarados,col1,Call of Legends,7,https://assets.tcgdex.net/en/col/col1/7/low.webp,,lc-12,False,0.592,Gyarados,,,fuzzy_name,1.0,catalog_wrong_match,,,
col1-67,Pidgey,col1,Call of Legends,67,https://assets.tcgdex.net/en/col/col1/67/low.webp,,base1-57,False,0.641,Pidgey,,,fuzzy_name,1.0,catalog_wrong_match,,,
dp2-71,Aron,dp2,Mysterious Treasures,71,https://assets.tcgdex.net/en/dp/dp2/71/low.webp,,ex1-25,False,0.587,Aron,,50,fuzzy_name_hp_best,1.0,catalog_wrong_match,,,
dp2-92,Paras,dp2,Mysterious Treasures,92,https://assets.tcgdex.net/en/dp/dp2/92/low.webp,,dp2-92,True,0.577,Paras,92/123,60,exact_no_count,0.95,correct,,,
ecard1-63,Skarmory,ecard1,Expedition Base Set,63,https://assets.tcgdex.net/en/ecard/ecard1/63/low.webp,,neo1-13,False,0.494,Skarmory,,60,fuzzy_name_hp_best,1.0,catalog_wrong_match,,,
ecard3-57,Gastly,ecard3,Skyridge,57,https://assets.tcgdex.net/en/ecard/ecard3/57/low.webp,,lc-76,False,0.457,Gastly,,50,fuzzy_name_hp_best,1.0,catalog_wrong_match,,,
ex15-61,Ralts δ,ex15,Dragon Frontiers,61,https://assets.tcgdex.net/en/ex/ex15/61/low.webp,,ex1-66,False,0.544,Ralts,,50,fuzzy_name_hp_best,1.0,catalog_wrong_match,,,
ex15-10,Snorlax δ,ex15,Dragon Frontiers,10,https://assets.tcgdex.net/en/ex/ex15/10/low.webp,,ecard3-100,False,0.848,Snorlax,10/191,80,fuzzy_name_hp,0.99,catalog_wrong_match,,,
gym1-15,Brock,gym1,Gym Heroes,15,https://assets.tcgdex.net/en/gym/gym1/15/low.webp,,gym1-15,True,0.438,Brock,,,fuzzy_name,1.0,correct,,,
gym2-76,Giovanni's Nidoran♂,gym2,Gym Challenge,76,https://assets.tcgdex.net/en/gym/gym2/76/low.webp,,gym2-76,True,0.582,Pokémon,76/132,40,local_id_hp,0.88,correct,,,
hgss1-94,Moomoo Milk,hgss1,HeartGold SoulSilver,94,https://assets.tcgdex.net/en/hgss/hgss1/94/low.webp,,hgss1-94,True,0.582,Moomoo Milk,54/723,,fuzzy_name,1.0,correct,,,
hgss1-42,Flaaffy,hgss1,HeartGold SoulSilver,42,https://assets.tcgdex.net/en/hgss/hgss1/42/low.webp,,hgss1-42,True,0.389,Flaaffy,42/123,,exact,0.99,correct,,,
lc-100,Full Heal Energy,lc,Legendary Collection,100,https://assets.tcgdex.net/en/lc/lc/100/low.webp,,,False,0.407,Full Heal Energy Special Energy Card,,,,,catalog_no_match,,,
lc-106,Challenge!,lc,Legendary Collection,106,https://assets.tcgdex.net/en/lc/lc/106/low.webp,,lc-106,True,0.377,Challenge!,,,fuzzy_name,1.0,correct,,,
me01-001,Bulbasaur,me01,Mega Evolution,001,https://assets.tcgdex.net/en/me/me01/001/low.webp,,ecard1-94,False,0.555,Bulbasaur,,,fuzzy_name,1.0,catalog_wrong_match,,,
me02.5-053,Frosmoth,me02.5,Ascended Heroes,053,https://assets.tcgdex.net/en/me/me02.5/053/low.webp,,swshp-SWSH007,False,0.769,Frosmoth,03/217,,fuzzy_name,1.0,catalog_wrong_match,,,
neo1-76,Stantler,neo1,Neo Genesis,76,https://assets.tcgdex.net/en/neo/neo1/76/low.webp,,neo1-76,True,0.424,Stantler,76/111,60,exact,0.99,correct,,,
neo4-15,Light Togetic,neo4,Neo Destiny,15,https://assets.tcgdex.net/en/neo/neo4/15/low.webp,,,False,0.408,I,,60,,,catalog_no_match,,,
pl2-6,Froslass GL,pl2,Rising Rivals,6,https://assets.tcgdex.net/en/pl/pl2/6/low.webp,,dp6-3,False,0.438,Froslass,,,fuzzy_name,1.0,catalog_wrong_match,,,
pl4-14,Bronzong,pl4,Arceus,14,https://assets.tcgdex.net/en/pl/pl4/14/low.webp,,pl4-14,True,0.476,Bronzong,14/09,49,exact_no_count,0.95,correct,,,
A2b-024,Electrode,A2b,Shining Revelry,024,https://assets.tcgdex.net/en/tcgp/A2b/024/low.webp,,lc-22,False,0.6,Electrode,,904,fuzzy_name,1.0,catalog_wrong_match,,,
A3b-011,Litten,A3b,Eevee Grove,011,https://assets.tcgdex.net/en/tcgp/A3b/011/low.webp,,2017sm-3,False,0.517,Litten,,20,fuzzy_name,1.0,catalog_wrong_match,,,
np-4,Grovyle,np,Nintendo Black Star Promos,4,https://assets.tcgdex.net/en/pop/np/4/low.webp,,ex1-31,False,0.502,Grovyle,,70,fuzzy_name_hp_best,1.0,catalog_wrong_match,,,
pop6-15,Piplup,pop6,POP Series 6,15,https://assets.tcgdex.net/en/pop/pop6/15/low.webp,,pop6-15,True,0.362,Piplup,15/17,,exact,0.99,correct,,,
sv08-038,Gouging Fire,sv08,Surging Sparks,038,https://assets.tcgdex.net/en/sv/sv08/038/low.webp,,sm6-38,False,0.589,Gouging Fire,38/131,,local_id,0.9,catalog_wrong_match,,,
sv06-001,Tangela,sv06,Twilight Masquerade,001,https://assets.tcgdex.net/en/sv/sv06/001/low.webp,,sv06-001,True,0.495,Tangela,001/167,,exact,0.99,correct,,,
sm1-109,Yungoos,sm1,Sun & Moon,109,https://assets.tcgdex.net/en/sm/sm1/109/low.webp,,sm1-109,True,0.398,Yungoos,109/149,70,exact,0.99,correct,,,
sm8-200,Suicune GX,sm8,Lost Thunder,200,https://assets.tcgdex.net/en/sm/sm8/200/low.webp,,,False,0.4,Suicunex,,,,,catalog_no_match,,,
swsh10-066,Mesprit,swsh10,Astral Radiance,066,https://assets.tcgdex.net/en/swsh/swsh10/066/low.webp,,dp6-34,False,0.419,Mesprit,,,fuzzy_name,1.0,catalog_wrong_match,,,
swsh10.5-028,Pikachu,swsh10.5,Pokémon GO,028,https://assets.tcgdex.net/en/swsh/swsh10.5/028/low.webp,,neo1-70,False,0.546,Pikachu,,,fuzzy_name,1.0,catalog_wrong_match,,,
xy11-63,Pawniard,xy11,Steam Siege,63,https://assets.tcgdex.net/en/xy/xy11/63/low.webp,,xy11-63,True,0.445,Pawniard,63/114,,exact,0.99,correct,,,
xy12-58,Machoke,xy12,Evolutions,58,https://assets.tcgdex.net/en/xy/xy12/58/low.webp,,,False,0.379,Evolves from Machop Machoke on the Ba,,90,,,catalog_no_match,,,
